Variable,Family,AD_median,CD_median,AD_mean,CD_mean,Diff_pct,p_value,Sig_0.05
ROA,Profitability,-0.0086,0.0342,-0.0365,0.0422,496.2,0.0,Yes
ROE,Profitability,0.0353,0.0997,0.0414,0.1274,182.7,0.0,Yes
ROCE,Profitability,0.0355,0.1566,0.0337,0.1841,341.0,0.0,Yes
EBITDA_Margin,Profitability,0.0778,0.0708,0.1342,0.1045,-9.0,0.002106,Yes
Operating_Profit_Margin,Profitability,0.0267,0.0555,0.0324,0.0757,107.7,0.0,Yes
Net_Profit_Margin,Profitability,-0.0206,0.0229,-0.2931,0.0165,211.1,0.0,Yes
Debt_to_Assets,Leverage,0.4652,0.2432,0.5329,0.2728,-47.7,0.0,Yes
Debt_to_Equity,Leverage,0.6291,0.5547,0.9434,1.0904,-11.8,0.280148,No
LT_Debt_to_Assets,Leverage,0.1435,0.0866,0.2629,0.1215,-39.7,0.0,Yes
TL_to_TA,Leverage,0.7873,0.6045,0.8247,0.5931,-23.2,0.0,Yes
TA_to_Equity,Leverage,2.3782,2.4504,3.0576,3.6607,3.0,0.0,Yes
Net_Debt_to_EBITDA,Leverage,4.0718,1.5233,5.5471,2.3088,-62.6,0.0,Yes
Current_Ratio,Liquidity,1.1165,1.5244,1.7096,2.1936,36.5,0.0,Yes
Quick_Ratio,Liquidity,0.843,1.0293,1.0378,1.3582,22.1,0.0,Yes
Cash_to_CL,Liquidity,0.0484,0.112,0.2403,0.3623,131.4,0.0,Yes
CFO_to_CL,Cash_Flow,0.0739,0.1087,0.1505,0.1771,47.2,0.0,Yes
CFO_to_Debt,Cash_Flow,0.0732,0.1691,0.5959,2.0607,131.0,0.0,Yes
CFO_to_Net_Income,Cash_Flow,0.0111,0.8699,1.0596,1.5613,7719.4,0.0,Yes
NCF_to_Debt,Cash_Flow,0.0002,0.0035,0.0351,0.4523,1457.0,0.0,Yes
NCF_to_TA,Cash_Flow,0.0001,0.0017,-0.0006,0.0162,2496.0,0.0,Yes
Total_Asset_Turnover,Turnover_Efficiency,0.5082,1.3044,0.9269,1.8215,156.7,0.0,Yes
Inventory_Turnover,Turnover_Efficiency,8.6369,8.5625,43.1107,34.6863,-0.9,0.000275,Yes
Receivables_Turnover,Turnover_Efficiency,5.7658,6.1024,25.0043,23.709,5.8,0.0,Yes
Payables_Turnover,Turnover_Efficiency,6.6243,8.285,22.761,33.2781,25.1,0.0,Yes
WC_Turnover,Turnover_Efficiency,0.4735,4.4471,2.9087,8.4877,839.2,0.0,Yes
WC_to_TA,Working_Capital,-0.0453,-0.2431,-0.0106,-0.2423,-437.0,0.0,Yes
Cash_Conversion_Cycle,Working_Capital,53.4478,56.7589,-66.3106,-155.5822,6.2,0.541842,No
