Variable,Family,H_stat,p_value,Sig_0.05,Sig_0.01
ROA,Profitability,12805.8645,0.0,Yes,Yes
WC_Turnover,Turnover_Efficiency,3440.2139,0.0,Yes,Yes
Payables_Turnover,Turnover_Efficiency,1919.9072,0.0,Yes,Yes
Receivables_Turnover,Turnover_Efficiency,47.3624,0.0,Yes,Yes
Inventory_Turnover,Turnover_Efficiency,264.9912,0.0,Yes,Yes
Total_Asset_Turnover,Turnover_Efficiency,4510.4359,0.0,Yes,Yes
NCF_to_TA,Cash_Flow,300.8729,0.0,Yes,Yes
NCF_to_Debt,Cash_Flow,307.5027,0.0,Yes,Yes
CFO_to_Net_Income,Cash_Flow,1668.6832,0.0,Yes,Yes
CFO_to_Debt,Cash_Flow,4973.3928,0.0,Yes,Yes
CFO_to_CL,Cash_Flow,5174.9316,0.0,Yes,Yes
Cash_to_CL,Liquidity,950.7807,0.0,Yes,Yes
WC_to_TA,Working_Capital,2711.3253,0.0,Yes,Yes
Quick_Ratio,Liquidity,1392.8111,0.0,Yes,Yes
Net_Debt_to_EBITDA,Leverage,1119.0171,0.0,Yes,Yes
TA_to_Equity,Leverage,411.2847,0.0,Yes,Yes
TL_to_TA,Leverage,3514.697,0.0,Yes,Yes
LT_Debt_to_Assets,Leverage,1181.6556,0.0,Yes,Yes
Debt_to_Equity,Leverage,447.0726,0.0,Yes,Yes
Debt_to_Assets,Leverage,2965.6565,0.0,Yes,Yes
Net_Profit_Margin,Profitability,10210.1061,0.0,Yes,Yes
Operating_Profit_Margin,Profitability,11140.6167,0.0,Yes,Yes
EBITDA_Margin,Profitability,4540.4142,0.0,Yes,Yes
ROCE,Profitability,12265.9279,0.0,Yes,Yes
ROE,Profitability,2359.3436,0.0,Yes,Yes
Current_Ratio,Liquidity,2196.6305,0.0,Yes,Yes
Cash_Conversion_Cycle,Working_Capital,113.1077,0.0,Yes,Yes
