Feature,Importance
Operating_Profit_Margin,1157
Total_Asset_Turnover,893
EBITDA_Margin,893
Inventory_Turnover,864
Payables_Turnover,860
Receivables_Turnover,846
ROCE,806
CFO_to_Debt,772
CFO_to_CL,768
Cash_Conversion_Cycle,758
LT_Debt_to_Assets,725
CFO_to_Net_Income,710
Cash_to_CL,699
NCF_to_Debt,691
Debt_to_Assets,666
WC_to_TA,659
Net_Debt_to_EBITDA,653
ROE,644
WC_Turnover,643
NCF_to_TA,630
ROA,621
TL_to_TA,614
Quick_Ratio,611
Current_Ratio,600
Net_Profit_Margin,564
TA_to_Equity,496
Debt_to_Equity,470
