Feature,Importance
Operating_Profit_Margin,414
ROCE,343
Inventory_Turnover,253
TL_to_TA,241
LT_Debt_to_Assets,234
EBITDA_Margin,208
CFO_to_CL,205
ROA,200
Receivables_Turnover,198
ROE,198
Cash_Conversion_Cycle,193
Total_Asset_Turnover,193
Net_Profit_Margin,189
Debt_to_Assets,183
WC_Turnover,159
Net_Debt_to_EBITDA,151
Current_Ratio,140
WC_to_TA,136
CFO_to_Net_Income,128
Payables_Turnover,127
Cash_to_CL,123
CFO_to_Debt,120
TA_to_Equity,120
Quick_Ratio,91
Debt_to_Equity,85
NCF_to_TA,79
NCF_to_Debt,68
