Company Name,Year_t,from_label,to_label
'K' Steamship Agencies Pvt. Ltd.,2021,Healthy,Healthy
'K' Steamship Agencies Pvt. Ltd.,2022,Healthy,Cash_Distress
1 To 1 Help.Net Pvt. Ltd.,2020,Healthy,Healthy
1 To 1 Help.Net Pvt. Ltd.,2021,Healthy,Healthy
1 To 1 Help.Net Pvt. Ltd.,2022,Healthy,Healthy
10I Commerce Services Pvt. Ltd.,2018,Full_Distress,Full_Distress
10I Commerce Services Pvt. Ltd.,2019,Full_Distress,Full_Distress
2 X 2 Logistics Pvt. Ltd.,2018,Healthy,Healthy
2 X 2 Logistics Pvt. Ltd.,2019,Healthy,Healthy
2 X 2 Logistics Pvt. Ltd.,2020,Healthy,Full_Distress
2 X 2 Logistics Pvt. Ltd.,2021,Full_Distress,Full_Distress
2 X 2 Logistics Pvt. Ltd.,2022,Full_Distress,Healthy
20 Microns Ltd.,2018,Healthy,Healthy
20 Microns Ltd.,2019,Healthy,Healthy
20 Microns Ltd.,2020,Healthy,Healthy
20 Microns Ltd.,2021,Healthy,Healthy
20 Microns Ltd.,2022,Healthy,Healthy
20 Microns Nano Minerals Ltd.,2018,Healthy,Healthy
20 Microns Nano Minerals Ltd.,2019,Healthy,Cash_Distress
20 Microns Nano Minerals Ltd.,2020,Cash_Distress,Healthy
20 Microns Nano Minerals Ltd.,2021,Healthy,Healthy
20 Microns Nano Minerals Ltd.,2022,Healthy,Healthy
24/7 Customer Pvt. Ltd.,2020,Cash_Distress,Healthy
24/7 Customer Pvt. Ltd.,2021,Healthy,Healthy
2D Entertainment Pvt. Ltd.,2018,Healthy,Full_Distress
3 F Industries Ltd.,2018,Healthy,Healthy
3 F Industries Ltd.,2019,Healthy,Healthy
3 F Industries Ltd.,2020,Healthy,Healthy
3 F Industries Ltd.,2021,Healthy,Cash_Distress
3 F Industries Ltd.,2022,Cash_Distress,Full_Distress
360 Degree Cloud Technologies Pvt. Ltd.,2019,Healthy,Healthy
360 Degree Cloud Technologies Pvt. Ltd.,2020,Healthy,Healthy
360 Degree Global Equipments Pvt. Ltd.,2018,Healthy,Healthy
360 Degree Global Equipments Pvt. Ltd.,2019,Healthy,Healthy
3B Blackbio Dx Ltd.,2020,Healthy,Healthy
3B Blackbio Dx Ltd.,2021,Healthy,Healthy
3C It Solutions & Telecoms (India) Ltd.,2022,Healthy,Healthy
3D Systems India Pvt. Ltd.,2021,Healthy,Healthy
3D Systems India Pvt. Ltd.,2022,Healthy,Healthy
3D Technopack Pvt. Ltd.,2018,Healthy,Healthy
3D Technopack Pvt. Ltd.,2019,Healthy,Healthy
3D Technopack Pvt. Ltd.,2020,Healthy,Healthy
3D Technopack Pvt. Ltd.,2021,Healthy,Healthy
3I Infotech Digital B P S Ltd.,2022,Cash_Distress,Healthy
3I Infotech Ltd.,2018,Healthy,Acct_Distress
3I Infotech Ltd.,2021,Full_Distress,Acct_Distress
3I Infotech Ltd.,2022,Acct_Distress,Acct_Distress
4I Apps Solutions Pvt. Ltd.,2019,Healthy,Healthy
4I Apps Solutions Pvt. Ltd.,2022,Healthy,Healthy
4Pel Solar Energy Pvt. Ltd.,2021,Acct_Distress,Full_Distress
4Pel Solar Energy Pvt. Ltd.,2022,Full_Distress,Acct_Distress
63Ideas Infolabs Pvt. Ltd.,2020,Full_Distress,Full_Distress
75F Smart Innovations India Pvt. Ltd.,2019,Full_Distress,Acct_Distress
75F Smart Innovations India Pvt. Ltd.,2020,Acct_Distress,Full_Distress
7Nr Retail Ltd.,2022,Full_Distress,Full_Distress
99Games Online Pvt. Ltd.,2019,Healthy,Full_Distress
99Games Online Pvt. Ltd.,2020,Full_Distress,Full_Distress
99Games Online Pvt. Ltd.,2021,Full_Distress,Full_Distress
99Games Online Pvt. Ltd.,2022,Full_Distress,Full_Distress
9X Media Pvt. Ltd.,2020,Full_Distress,Acct_Distress
